longitude,latitude,ID,Temperature,Precipitation
-88.9066,16.2155,1,25.368999481201172,3388
-88.7986,16.3474,2,25.393999099731445,2988
-88.741,16.4411,3,25.586332321166992,2724
-88.6255,16.4725,4,25.795333862304688,2559
-78.8922,0.0246,5,20.692333221435547,3171
-78.4398,-0.2219,6,15.408499717712402,1047
-72.7138,10.0488,7,22.481666564941406,1411
-69.8681,-6.6596,8,25.924667358398438,2499
-63.7901,-22.5189,9,22.969999313354492,1231
-54.9723,-20.9262,10,23.209999084472656,1429
-52.9017,2.1969,11,25.73383331298828,2409
-51.127,-30.0906,12,19.424833297729492,1499
-48.2755,-18.9128,13,22.086334228515625,1612
-47.4061,-18.485,14,21.545833587646484,1502
-42.6892,-22.0461,15,20.256500244140625,1373
-41.2654,-18.0632,16,22.53733253479004,1090
-40.5934,-16.8625,17,22.867834091186523,988
-35.508,-9.4038,18,24.711666107177734,1876
-5.217,6.2328,19,26.154333114624023,1177
-4.3668,5.3262,20,26.41233253479004,1732
-4.0235,5.3647,21,26.664833068847656,1698
-4.0161,5.6028,22,26.487333297729492,1600
0.9067,10.4756,23,28.278667449951172,1073
0.9161,10.7789,24,28.74566650390625,1032
0.9919,10.0131,25,27.831666946411133,1118
1.0039,10.8272,26,28.515499114990234,1014
1.0083,10.5106,27,27.979999542236328,1073
1.0269,10.6308,28,28.394166946411133,1047
1.115,10.2231,29,27.959333419799805,1081
1.1328,10.1264,30,27.468334197998047,1127
1.1436,10.8106,31,28.556833267211914,993
1.2633,10.6158,32,27.494667053222656,1077
1.3772,10.4967,33,26.928333282470703,1134
1.5536,10.0544,34,26.806167602539062,1117
1.6156,10.1997,35,26.525667190551758,1149
1.6453,8.0161,36,26.855499267578125,1042
1.6586,8.1589,37,26.608333587646484,1073
1.6667,6.7625,38,27.046998977661133,982
1.6683,6.5825,39,27.00983238220215,1014
1.6772,6.9406,40,26.739500045776367,1038
1.7281,10.5639,41,26.537166595458984,1119
1.7558,10.3811,42,26.843000411987305,1123
1.7803,7.0981,43,27.06999969482422,1014
1.7839,6.8047,44,27.205333709716797,969
1.7914,6.2747,45,27.21744728088379,986
1.8364,6.9792,46,26.905166625976562,1041
1.8806,7.9825,47,27.124332427978516,1039
1.8856,8.4175,48,26.434833526611328,1097
1.9083,6.6231,49,26.89983367919922,1056
1.9222,6.4033,50,27.29133415222168,1058
2.0161,7.7733,51,27.430166244506836,1050
2.0822,7.8961,52,27.36833381652832,1056
2.1789,8.0131,53,27.25550079345703,1044
2.1847,8.2231,54,27.069000244140625,1013
2.2678,10.3342,55,26.891332626342773,1068
2.3167,8.0789,56,27.357666015625,1034
2.3992,10.2781,57,26.699501037597656,1075
2.4206,11.2872,58,27.63399887084961,948
2.5564,9.1256,59,26.477333068847656,1100
2.5664,9.4508,60,26.58883285522461,1099
2.5817,9.2772,61,26.503665924072266,1112
2.6239,9.5625,62,26.517333984375,1092
2.6675,9.3733,63,26.634166717529297,1091
2.6736,10.6761,64,27.14699935913086,1019
2.735,10.8986,65,27.42449951171875,996
2.7822,10.7169,66,27.139333724975586,1017
2.8747,10.9789,67,27.498666763305664,987
2.8954,6.4249,68,27.31766700744629,1422
2.9222,12.2914,69,28.917333602905273,666
2.9364,11.1389,70,27.737667083740234,975
3.0331,12.2036,71,28.944334030151367,684
3.2069,12.0325,72,28.898666381835938,729
3.3758,11.1194,73,27.496166229248047,1000
3.4222,11.8561,74,29.060832977294922,795
3.4878,10.9208,75,27.287334442138672,1031
3.5169,11.7867,76,28.96383285522461,834
3.5839,10.7864,77,27.06049919128418,1069
4.4723,8.7082,78,25.93633270263672,1166
4.539,7.9578,79,25.610166549682617,1274
4.7031,7.9006,80,25.584333419799805,1309
6.6585,5.0828,81,26.55233383178711,2539
6.6638,4.6138,82,26.576736450195312,2993
6.8458,4.7456,83,26.445659637451172,2817
6.9639,4.5699,84,26.204999923706055,3323
